glean_date,glean_text,glean_type,glean_location,invoice_id,canonical_vendor_id,glean_id
2020-06-26,First new bill in 3.9 months from vendor 35c065e2-87fa-4c57-b0b8-c7843433b791,1,1,19f5d896-2fec-407f-bef5-0ffdf8ceb485,35c065e2-87fa-4c57-b0b8-c7843433b791,29
2019-05-01,First new bill in 12.2 months from vendor 3629f0a6-158e-4027-92c7-26806c316bc2,1,1,c517aa0a-9f83-4623-aa31-580145e12fec,3629f0a6-158e-4027-92c7-26806c316bc2,30
2019-08-31,First new bill in 4.07 months from vendor 3629f0a6-158e-4027-92c7-26806c316bc2,1,1,4b26c1c0-8487-4215-9375-3999292cb51c,3629f0a6-158e-4027-92c7-26806c316bc2,31
2020-05-15,First new bill in 7.8 months from vendor 3629f0a6-158e-4027-92c7-26806c316bc2,1,1,45845f82-06fe-4eb5-b18f-2709339b5b2e,3629f0a6-158e-4027-92c7-26806c316bc2,32
2020-06-30,First new bill in 3.03 months from vendor 3765dbe9-971b-4584-806b-1c42411fa0c2,1,1,cef88711-29f9-4528-b513-697451b55921,3765dbe9-971b-4584-806b-1c42411fa0c2,33
2020-09-15,First new bill in 13.23 months from vendor 37a1712d-f876-4282-9221-57b13e19dc9c,1,1,98a27316-1ed0-4840-af36-608adf011f07,37a1712d-f876-4282-9221-57b13e19dc9c,34
2020-01-31,First new bill in 5.4 months from vendor 3868ba1e-df06-4cdf-8445-3ff788ef6085,1,1,1af7182d-50e6-4791-ad45-fd8b7c640f4a,3868ba1e-df06-4cdf-8445-3ff788ef6085,35
2019-04-17,First new bill in 3.07 months from vendor 39d309ff-4df2-4b8e-8a2e-d055dd668984,1,1,54d07a19-aaa8-4415-b6f7-28cf216d0414,39d309ff-4df2-4b8e-8a2e-d055dd668984,36
2019-08-15,First new bill in 4.0 months from vendor 39d309ff-4df2-4b8e-8a2e-d055dd668984,1,1,75ed9501-001b-42b5-af28-07c163aacef6,39d309ff-4df2-4b8e-8a2e-d055dd668984,37
2020-08-05,First new bill in 9.07 months from vendor 39d309ff-4df2-4b8e-8a2e-d055dd668984,1,1,b8368acf-61d6-4f2a-9d55-26333f4fd98b,39d309ff-4df2-4b8e-8a2e-d055dd668984,38
2020-06-18,First new bill in 3.03 months from vendor 3a64161d-30c9-41b8-85e7-910b891e6520,1,1,0732547d-1e5c-4be3-8079-18e9a9fd02ef,3a64161d-30c9-41b8-85e7-910b891e6520,39
2020-06-01,First new bill in 3.03 months from vendor 3ae52557-3479-429d-b08c-3fd76b3f6976,1,1,2ed48c62-bc57-431e-a807-27e3b0c2e1da,3ae52557-3479-429d-b08c-3fd76b3f6976,40
2020-03-23,First new bill in 3.73 months from vendor 3c1f0ab8-e203-4d12-a787-acb626e0af06,1,1,20c2b6d7-2529-4023-a15b-2a3719ae6a6e,3c1f0ab8-e203-4d12-a787-acb626e0af06,41
2020-11-30,First new bill in 4.07 months from vendor 3cac8be6-0624-4009-a020-ba55673e747f,1,1,6b195fcd-b808-402e-b861-6bb3e74a279d,3cac8be6-0624-4009-a020-ba55673e747f,42
2019-07-18,First new bill in 7.97 months from vendor 3d2e310c-a166-42e6-a6d8-fe28f38acbd7,1,1,39406d07-caef-4139-ab5d-92cd4fcbb66d,3d2e310c-a166-42e6-a6d8-fe28f38acbd7,43
2020-10-30,First new bill in 15.67 months from vendor 3d2e310c-a166-42e6-a6d8-fe28f38acbd7,1,1,67078ec4-bfb2-4e94-bfd8-eab88d37ced3,3d2e310c-a166-42e6-a6d8-fe28f38acbd7,44
2020-07-01,First new bill in 3.03 months from vendor 44ae301b-5ff0-4152-9481-9111527db8be,1,1,8117ee79-1404-4622-b1be-1a1e88a595ff,44ae301b-5ff0-4152-9481-9111527db8be,45
2020-11-08,First new bill in 10.33 months from vendor 4fcbbc40-71cc-4aa8-84f2-32093f94bcb8,1,1,db1dece5-93b9-4bcf-b041-937542b91a44,4fcbbc40-71cc-4aa8-84f2-32093f94bcb8,46
2020-06-23,First new bill in 5.5 months from vendor 5563cff8-b050-45e9-89d3-eb079dfeb12a,1,1,c88b4727-23fc-4fd6-a28d-231f1d6ba4ea,5563cff8-b050-45e9-89d3-eb079dfeb12a,47
2020-03-20,First new bill in 8.13 months from vendor 5bf5e44e-fd30-44b7-8da3-19b228a47fef,1,1,2c1f3e3c-af1a-471d-8df6-363b138aa119,5bf5e44e-fd30-44b7-8da3-19b228a47fef,48
